line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group
09.067.27.d,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.27,d,MO,punīhí,2,verse final,2.SG.PRS.IMP.ACT,jā́tavedaḥ punīhí mā,*jā́tavedaḥ punīhí mā,LSLL SLS L,Aṇuṣṭubh,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
09.067.27.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.27,c,MO,punītá,3,verse final,2.PL.PRS.IMP.ACT,víśve?_ devāḥ punītá mā,*víśve devāḥ punītá mā,LL LL SLS L,Aṇuṣṭubh,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
01.015.02.b,punī,weak,pū,,False,,Earlier & Later,ninth,pū,01,01.015,01.015.02,b,MO,punītana,3,,2.PL.PRS.IMP.ACT,potrā́t yajñám punītana,potrā́d yajñám punītana,LL LL SLSS,Gāyatrī,N,,15,Cycle of the Gods,Hymns of Medhatithi
07.085.01.a,punī,weak,pū,,False,,Earlier & Later,ninth,pū,07,07.085,07.085.01,a,M,punīṣé,1,intermediate,1.SG.PRS.IND.MED,punīṣé?_ vām= arakṣásam} manīṣā́m,punīṣé vām arakṣásam manīṣā́ṁ,SLL L SLSL SLL,Triṣṭubh,S,,601,Indra and Varuna,Hymns to Indra and Varuna
08.012.11.b,punī,weak,pū,,False,,Earlier & Later,ninth,pū,08,08.012,08.012.11,b,M,punīte,2,verse final,3.SG.PRS.SBJV.MED,krátum punīte?_ ānuṣák,krátum punīta ānuṣák,SL SLS LSL,,A,,632,Indra,Various Sons of Kanva
08.013.01.b,punī,weak,pū,,False,,Earlier & Later,ninth,pū,08,08.013,08.013.01,b,M,punīte,2,verse final,3.SG.PRS.SBJV.MED,krátum punīte?_ ukthya\m,krátum punīta ukthíyam,SL SLS LSL,,A,,633,Indra,Various Sons of Kanva
09.004.04.a,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.004,09.004.04,a,MO,punītána,2,,2.PL.PRS.IMP.ACT,pávītāraḥ punītána,pávītāraḥ punītána,SLLL SLSS,Gāyatrī,N,,716,Soma,Tirasci and Other Poets
09.011.05.b,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.011,09.011.05,b,MO,punītana,3,,2.PL.PRS.IMP.ACT,sutám sómam punītana,sutáṁ sómam punītana,SL LL SLSS,Gāyatrī,N,,723,Soma,Tirasci and Other Poets
09.016.03.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.016,09.016.03,c,MO,punīhí,1,intermediate,2.SG.PRS.IMP.ACT,punīhí índrāya pā́tave-_,punīhī́ndrāya pā́tave,SLLLS LSL,Gāyatrī,N,,728,Soma,Tirasci and Other Poets
09.051.01.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.051,09.051.01,c,MO,punīhí,1,intermediate,2.SG.PRS.IMP.ACT,punīhí índrāya pā́tave-_,punīhī́ndrāya pā́tave,SLLLS LSL,Gāyatrī,N,,763,Soma,Tirasci and Other Poets
09.062.29.a,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.062,09.062.29,a,MO,punītana,3,,2.PL.PRS.IMP.ACT,índrāya índum punītana,índrāyéndum punītana,LLLL SLSS,Gāyatrī,N,,774,Soma,Tirasci and Other Poets
09.067.23.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.23,c,MO,punīhi,3,verse final,2.SG.PRS.IMP.ACT,bráhma téna punīhi naḥ,bráhma téna punīhi naḥ,LS LS SLS L,Gāyatrī,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
09.067.25.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.25,c,MO,punīhi,2,verse final,2.SG.PRS.IMP.ACT,mā́m punīhi viśvátaḥ,máam punīhi viśvátaḥ,SL SLS LSL,Gāyatrī,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
09.067.26.c,punī,weak,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.26,c,MO,punīhi,3,verse final,2.SG.PRS.IMP.ACT,ágne-_ dákṣaiḥ punīhi naḥ,ágne dákṣaiḥ punīhi naḥ,LL LL SLS L,Gāyatrī,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
10.030.05.d,punī,weak,pū,,False,,Earlier & Later,ninth,pū,10,10.030,10.030.05,d,M,punītāt,4,,2.SG.PRS.IMP.ACT,yát āsiñcā́ḥ= óṣadhībhiḥ} punītāt,yád āsiñcā́ óṣadhībhiḥ punītāt,S LLL LSLL SLL,Triṣṭubh,N,,856,The Waters,Hymns of Kavasa Ailusa
01.133.01.a,punā,strong,pū,,False,,Earlier & Later,ninth,pū,01,01.133,01.133.01,a,P,punāmi,2,intermediate,1.SG.PRS.IND.ACT,ubhé+_ punāmi= ródasī+_} r̥téna,ubhé punāmi ródasī r̥téna,SL SLS LSL SLS,Triṣṭubh,P,"['Grassmann (G)', 'Arnold (C1)']",133,Indra,"Hymns of Parucchepa, Son of Divodasa"
01.160.03.b,punā,strong,pū,,False,,Earlier & Later,ninth,pū,01,01.160,01.160.03,b,M,punā́ti,1,intermediate,3.SG.PRS.IND.ACT,punā́ti dhī́raḥ= bhúvanāni māyáyā,punā́ti dhī́ro bhúvanāni māyáyā,SLS LL SSLS LSL,Jagatī,C,,160,Heaven and Earth,"Hymns of Dirghatamas, Son of Ucathya and Mamata"
09.001.06.a,punā,strong,pū,,False,,Earlier & Later,ninth,pū,09,09.001,09.001.06,a,MO,punā́ti,1,intermediate,3.SG.PRS.IND.ACT,punā́ti te-_ parisrútam,punā́ti te parisrútaṁ,SLS L SLSL,Gāyatrī,N,,713,Soma,Tirasci and Other Poets
09.067.22.c,punā,strong,pū,,False,,Earlier & Later,ninth,pū,09,09.067,09.067.22,c,MO,punātu,4,verse final,3.SG.PRS.IMP.ACT,yáḥ potā́ sá punātu naḥ,yáḥ potā́ sá punātu naḥ,L LL S SLS L,Gāyatrī,N,"['Oldenberg (O)', 'Wuest (W)']",779,Soma and Other Gods,Tirasci and Other Poets
09.104.03.a,punā,strong,pū,,False,,Earlier & Later,ninth,pū,09,09.104,09.104.03,a,M,punā́ta,1,verse final,2.PL.PRS.IMP.ACT,punā́tā+ dakṣasā́dhanam,punā́tā dakṣasā́dhanaṁ,SLL LSLSL,,A,,816,Soma,The Usnih Group
10.013.03.d,punā,strong,pū,,False,,Earlier & Later,ninth,pū,10,10.013,10.013.03,d,P,punāmi,5,,1.SG.PRS.IND.ACT,r̥tásya nā́bhau= ádhi sám} punāmi,r̥tásya nā́bhāv ádhi sám punāmi,SLS LL SS L SLS,Triṣṭubh,P,"['Grassmann (G)', 'Arnold (C1)']",839,The Two Sacrificial Carts,Yama Hymns
07.007.03.b,prīṇī,weak,prī,,False,,Earlier & Later,ninth,prī,07,07.007,07.007.03,b,M,prīṇīté,1,intermediate,3.SG.PRS.IND.MED,prīṇīté?_ agníḥ= īḷitáḥ} ná+_ hótā,prīṇīté agnír īḷitó ná hótā,LLL LS LSL S LL,Triṣṭubh,S,,523,Agni,Hymns to Agni
10.101.07.a,prīṇī,weak,prī,,False,,Earlier & Later,ninth,prī,10,10.101,10.101.07,a,P,prīṇītá,1,intermediate,2.PL.PRS.IMP.ACT,prīṇītá áśvān hitám jayātha,*priṇītá@ áśvān hitáṁ jayātha,SLS LL SL SLS,,P,['Arnold (C1)'],927,The Sacrificial Priest,Hymns of Manyu
08.023.16.b,prīṇā,strong,prī,,False,,Earlier & Later,ninth,prī,08,08.023,08.023.16,b,M,aprīṇāt,2,verse final,3.SG.IPRF.IND.ACT,ukṣaṇyúḥ aprīṇāt ŕ̥ṣiḥ,ukṣaṇyúr apriṇād@ ŕ̥ṣiḥ,LLS LSL SL,,A,,643,Agni,Hymns of Vyasva
10.085.24.b,badhnā,strong,badh,,False,,Earlier & Later,ninth,bandh,10,10.085,10.085.24,b,P,ábadhnāt,3,intermediate,3.SG.IPRF.IND.ACT,yéna tvā ábadhnāt= savitā́} suśévaḥ,yéna tvā́badhnāt savitā́ suśévaḥ,LL LLL SSL SLL,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (O)', 'Arnold (C2)']",911,Wedding Hymn,Hymns of Manyu
01.093.06.b,mathnā,strong,math,,False,,Earlier & Later,ninth,mathⁱ,01,01.093,01.093.06,b,D,ámathnāt,1,intermediate,3.SG.IPRF.IND.ACT,ámathnāt anyám= pári śyenáḥ ádreḥ,ámathnād anyám pári śyenó ádreḥ,SLL LL SL LL LL,Triṣṭubh,p,"['Oldenberg (o)', 'Arnold (C1)', 'Wuest (W)']",93,Agni and Soma,"Hymns of Gotama, the Son of Rahugana"
01.093.04.b,muṣṇī,weak,muṣ,,False,,Earlier & Later,ninth,muṣⁱ,01,01.093,01.093.04,b,D,ámuṣṇītam,2,intermediate,2.DU.IPRF.IND.ACT,yát ámuṣṇītam= avasám} paṇím gā́ḥ,yád ámuṣṇītam avasám paṇíṁ gā́ḥ,S SLLS SSL SL L,Triṣṭubh,p,"['Oldenberg (o)', 'Arnold (C1)', 'Wuest (W)']",93,Agni and Soma,"Hymns of Gotama, the Son of Rahugana"
01.131.04.f,muṣṇā,strong,muṣ,,False,,Earlier & Later,ninth,muṣⁱ,01,01.131,01.131.04,f,M,amuṣṇāḥ,2,intermediate,2.SG.IPRF.IND.ACT,mahī́m amuṣṇāḥ= pr̥thivī́m} imā́ḥ apáḥ,mahī́m amuṣṇāḥ pr̥thivī́m imā́ apó,SL SLL SSL SL SL,,s,,131,Indra,"Hymns of Parucchepa, Son of Divodasa"
06.044.22.d,muṣṇā,strong,muṣ,,False,,Earlier & Later,ninth,muṣⁱ,06,06.044,06.044.22,d,M,amuṣṇāt,2,intermediate,3.SG.IPRF.IND.ACT,índuḥ amuṣṇāt= áśivasya māyā́ḥ,índur amuṣṇād áśivasya māyā́ḥ,LS SLL SSLS LL,Triṣṭubh,A,,485,Indra,Hymns to Indra
10.067.06.d,muṣṇā,strong,muṣ,,False,,Earlier & Later,ninth,muṣⁱ,10,10.067,10.067.06,d,M,amuṣṇāt,5,,3.SG.IPRF.IND.ACT,árodayat= paṇím ā́ gā́ḥ} amuṣṇāt,árodayat paṇím ā́ gā́ amuṣṇāt,SLSL SS L L SLL,Triṣṭubh,C,['Grassmann (G)'],893,Brihaspati,Hymns of Ayasya
01.139.01.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.139,01.139.01,b,M,vr̥ṇīmahe,6,,1.PL.PRS.IND.MED,ā́ nú tát śárdhaḥ= divyám} vr̥ṇīmahe-_,ā́ nú tác chárdho diviyáṁ vr̥ṇīmaha,L S L LL SSL SLSS,,N,"['Oldenberg (o)', 'Wuest (w)']",139,All the Gods,"Hymns of Parucchepa, Son of Divodasa"
01.139.01.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.139,01.139.01,c,M,vr̥ṇīmahe,2,,1.PL.PRS.IND.MED,indravāyū́+_ vr̥ṇīmahe-_,indravāyū́ vr̥ṇīmahe,LSLL SLSL,,N,"['Oldenberg (o)', 'Wuest (w)']",139,All the Gods,"Hymns of Parucchepa, Son of Divodasa"
09.066.18.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,09,09.066,09.066.18,c,MT,vr̥ṇīmáhe,1,verse final,1.PL.PRS.IND.MED,vr̥ṇīmáhe-_ sakhyā́ya,vr̥ṇīmáhe sakhiyā́ya,SLSL SSLS,Aṇuṣṭubh,S,,778,Soma,Tirasci and Other Poets
09.066.18.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,09,09.066,09.066.18,d,MT,vr̥ṇīmáhe,1,verse final,1.PL.PRS.IND.MED,vr̥ṇīmáhe-_ yújyāya,vr̥ṇīmáhe yújiyāya,SLSL SSLS,Aṇuṣṭubh,S,,778,Soma,Tirasci and Other Poets
10.013.04.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,10,10.013,10.013.04,a,P,avr̥ṇīta,3,verse final,3.SG.IPRF.IND.MED,devébhyaḥ= kám avr̥ṇīta mr̥tyúm,devébhiyaḥ kám avr̥ṇīta mr̥tyúm,LLSL S SSLS LL,,P,"['Grassmann (G)', 'Arnold (C1)']",839,The Two Sacrificial Carts,Yama Hymns
10.013.04.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,10,10.013,10.013.04,b,P,avr̥ṇīta,5,,3.SG.IPRF.IND.MED,prajā́yai kám= amŕ̥tam ná avr̥ṇīta,prajā́yai kám amŕ̥taṁ nā́vr̥ṇīta,SLL S SSL LSLS,,P,"['Grassmann (G)', 'Arnold (C1)']",839,The Two Sacrificial Carts,Yama Hymns
10.036.11.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,10,10.036,10.036.11,a,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,mahát adyá= mahatā́m ā́} vr̥ṇīmahe-_,mahád adyá mahatā́m ā́ vr̥ṇīmahe,SS LS SSL L SLSL,Jagatī,C,,862,All the Gods,Hymns of Lusa
10.036.11.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,10,10.036,10.036.11,d,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,tát devā́nām= ávaḥ adyā́+} vr̥ṇīmahe-_,tád devā́nām ávo adyā́ vr̥ṇīmahe,L LLL SL LL SLSL,Jagatī,C,,862,All the Gods,Hymns of Lusa
01.012.01.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.012,01.012.01,a,MO,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,agním dūtám vr̥ṇīmahe-_,agníṁ dūtáṁ vr̥ṇīmahe,LL LL SLSL,Gāyatrī,N,,12,Agni,Hymns of Medhatithi
01.032.03.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.032,01.032.03,a,M,avr̥ṇīta,2,verse final,3.SG.IPRF.IND.MED,vr̥ṣāyámāṇaḥ= avr̥ṇīta sómam,vr̥ṣāyámāṇo avr̥ṇīta sómaṁ,SLSLL SSLS LL,Triṣṭubh,C,,32,Indra,Hymns of Medhatithi
01.036.03.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.036,01.036.03,a,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,prá tvā dūtám vr̥ṇīmahe-_,prá tvā dūtáṁ vr̥ṇīmahe,L L LL SLSL,,a,,36,Agni,Hymns of Kanva
01.039.07.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.039,01.039.07,b,M,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,rúdrāḥ ávaḥ vr̥ṇīmahe-_,rúdrā ávo vr̥ṇīmahe,LL SL SLSL,,a,,39,The Maruts,Hymns of Kanva
01.042.05.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.042,01.042.05,b,MO,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,pū́ṣan ávaḥ vr̥ṇīmahe-_,pū́ṣann ávo vr̥ṇīmahe,LL SL SLSL,,S,,42,Pusan,Hymns of Kanva
01.044.03.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.044,01.044.03,a,M,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,adyā́+ dūtám vr̥ṇīmahe-_,adyā́ dūtáṁ vr̥ṇīmahe,LL LL SLSL,,S,,44,Agni,Hymns of Praskanva
01.067.01.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.067,01.067.01,b,M5,vr̥ṇīté,1,intermediate,3.SG.PRS.IND.MED,vr̥ṇīté?_ śruṣṭím rā́jā iva ajuryám,vr̥ṇīté śruṣṭíṁ rā́jevājuryám,SLL LL LLLLL,,N,,67,Agni,"Hymns of Parasa, the Son of Sakti"
01.114.04.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.114,01.114.04,d,M,vr̥ṇīmahe,6,,1.PL.PRS.IND.MED,sumatím ít= vayám asya ā́} vr̥ṇīmahe-_,sumatím íd vayám asyā́ vr̥ṇīmahe,SSS L SS LL SLSL,,C,,114,Rudra,"Hymns of Kutsa, the Angiras"
01.114.09.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.114,01.114.09,d,M,vr̥ṇīmahe,6,,1.PL.PRS.IND.MED,áthā+ vayám= ávaḥ ít te-_} vr̥ṇīmahe-_,áthā vayám áva ít te vr̥ṇīmahe,SL SS SS L L SLSL,,C,,114,Rudra,"Hymns of Kutsa, the Angiras"
01.117.13.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.117,01.117.13,d,M,avr̥ṇīta,4,,3.SG.IPRF.IND.MED,sahá śriyā́= nāsatyā avr̥ṇīta,sahá śriyā́ nāsatiyāvr̥ṇīta,SL SL LSSLSLS,Triṣṭubh,N,,117,Asvins,"Hymns of Kaksivat, the Son of Dirghatamas and Usij"
01.119.05.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.119,01.119.05,d,M,avr̥ṇīta,2,intermediate,3.SG.IPRF.IND.MED,yóṣā avr̥ṇīta= jényā} yuvā́m pátī+_,yóṣāvr̥ṇīta jéniyā yuvā́m pátī,LLSLS LSL SL SL,Jagatī,N,,119,Asvins,"Hymns of Kaksivat, the Son of Dirghatamas and Usij"
01.180.04.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,01,01.180,01.180.04,b,M,avr̥ṇītam,4,verse final,2.DU.IPRF.IND.ACT,apáḥ ná+_ kṣódaḥ= avr̥ṇītam eṣé?_,apó ná kṣódo avr̥ṇītam eṣé,SL L LL SSLS LL,,A,,180,Asvins,Hymns of Agastya
02.026.02.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,02,02.026,02.026.02,d,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,bráhmaṇaḥ páteḥ= áva ā́} vr̥ṇīmahe-_,bráhmaṇas páter áva ā́ vr̥ṇīmahe,LSL SL SS L SLSL,Jagatī,N,,217,Brahmanaspati,Hymns to Brahmanaspati
02.033.13.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,02,02.033,02.033.13,c,M,ávr̥ṇīta,3,intermediate,3.SG.IPRF.IND.MED,yā́ni mánuḥ= ávr̥ṇītā+} pitā́ naḥ,yā́ni mánur ávr̥ṇītā pitā́ nas,LS SS SSLL SL L,Triṣṭubh,N,,224,Rudra,Hymns to Various Gods
02.041.19.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,02,02.041,02.041.19,b,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,yuvā́m ít ā́ vr̥ṇīmahe-_,yuvā́m íd ā́ vr̥ṇīmahe,SL S L SLSL,Gāyatrī,N,"['Oldenberg (o)', 'Wuest (w)']",232,Diverse Gods,Hymns to Various Gods
03.002.04.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,03,03.002,03.002.04,b,M,vr̥ṇīmáhe,1,intermediate,1.PL.PRS.IND.MED,vr̥ṇīmáhe-_= áhrayam vā́jam r̥gmíyam,vr̥ṇīmáhe áhrayaṁ vā́jam r̥gmíyam,SLSL LSL LS LSL,Jagatī,N,,236,Agni Vaisvanara,Hymns to Agni
03.029.16.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,03,03.029,03.029.16,b,D,ávr̥ṇīmahi,3,verse final,1.PL.IPRF.IND.MED,hótar cikitvaḥ= ávr̥ṇīmahi ihá,hótaś cikitvo ávr̥ṇīmahīhá,LL SLL SSLSLS,Triṣṭubh,p,"['Grassmann (G)', 'Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",263,Agni,Hymns to Agni
03.036.08.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,03,03.036,03.036.08,d,M,avr̥ṇīta,3,verse final,3.SG.IPRF.IND.MED,vr̥trám jaghanvā́n= avr̥ṇīta sómam,vr̥tráṁ jaghanvā́m̐ avr̥ṇīta sómam,LL SLL SSLS LL,Triṣṭubh,c,,270,Indra,Hymns to Indra
03.039.07.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,03,03.039,03.039.07,a,M,vr̥ṇīta,2,intermediate,3.SG.PRS.INJ.MED,jyótiḥ vr̥ṇīta= támasaḥ} vijānán,jyótir vr̥ṇīta támaso vijānánn,LL SLS SSL SLL,Triṣṭubh,c,,273,Indra,Hymns to Indra
04.025.03.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,04,04.025,04.025.03,a,M,vr̥ṇīte,5,,3.SG.PRS.IND.MED,káḥ devā́nām= ávaḥ adyā́+} vr̥ṇīte?_,kó devā́nām ávo adyā́ vr̥ṇīte,L LLL SL LL SLL,Triṣṭubh,N,,321,Indra,Hymns to Indra
04.031.11.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,04,04.031,04.031.11,a,M,vr̥ṇīṣva,3,,2.SG.PRS.IMP.MED,asmā́n ihā́+ vr̥ṇīṣva,asmā́m̐ ihā́ vr̥ṇīṣuva,LL SL SLSS,Gāyatrī,S,,327,Indra,Hymns to Indra
04.041.07.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,04,04.041,04.041.07,c,M,vr̥ṇīmáhe,1,intermediate,1.PL.PRS.IND.MED,vr̥ṇīmáhe-_= sakhyā́ya} priyā́ya,vr̥ṇīmáhe sakhiyā́ya priyā́ya,SLSL SSLL SLS,Triṣṭubh,N,,337,Indra and Varuna,Hymns to Indra and Varanda
04.043.02.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,04,04.043,04.043.02,d,M,ávr̥ṇīta,4,,3.SG.IPRF.IND.MED,yám sū́ryasya= duhitā́ ávr̥ṇīta,yáṁ sū́riyasya duhitā́vr̥ṇīta,L LSLS SSLSLS,,N,,339,Asvins,Hymns to the Asvins
04.053.01.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,04,04.053,04.053.01,b,M,vr̥ṇīmáhe,1,intermediate,1.PL.PRS.IND.MED,vr̥ṇīmáhe-_= ásurasya} prácetasaḥ,vr̥ṇīmáhe ásurasya prácetasaḥ,SLSL SSLL SLSL,Jagatī,N,,349,Savitri,Hymns to Savitri
05.020.03.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.020,05.020.03,a,M,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,hótāram tvā vr̥ṇīmahe-_,hótāraṁ tvā vr̥ṇīmahe,LLL L SLSL,Aṇuṣṭubh,A,,374,Agni,Hymns to Agni
05.026.04.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.026,05.026.04,c,M,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,hótāram tvā vr̥ṇīmahe-_,hótāraṁ tvā vr̥ṇīmahe,LLL L SLSL,Gāyatrī,N,,380,Agni,Hymns to Agni
05.028.06.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.028,05.028.06,c,M,vr̥ṇīdhvám,1,verse final,2.SG.PRS.IMP.MED,vr̥ṇīdhvám havyavā́hanam,vr̥ṇīdhváṁ havyavā́hanam,SLL LSLSL,Gāyatrī,N,"['Oldenberg (o)', 'Wuest (W)']",382,Agni,Hymns to Agni
05.050.01.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.050,05.050.01,d,M,vr̥ṇīta,2,verse final,3.SG.PRS.INJ.MED,dyumnám vr̥ṇīta puṣyáse?_,dyumnáṁ vr̥ṇīta puṣyáse,LL SLS LSL,Aṇuṣṭubh,A,,404,All the Gods,Hymns to the All-Gods
05.082.01.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.082,05.082.01,a,M,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,tát savitúḥ vr̥ṇīmahe-_,tát savitúr vr̥ṇīmahe,L SSL SLSL,Aṇuṣṭubh,A,,436,Savitri,Hymns to Various Gods
05.082.07.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,05,05.082,05.082.07,b,MT,vr̥ṇīmahe,3,,1.PL.PRS.IND.MED,sūktaíḥ adyā́+ vr̥ṇīmahe-_,sūktaír adyā́ vr̥ṇīmahe,LL LL SLSL,Gāyatrī,A,,436,Savitri,Hymns to Various Gods
06.015.09.c,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,06,06.015,06.015.09,c,M,āvr̥ṇīmáhe,5,,1.PL.PRS.IND.MED,yát te-_ dhītím= sumatím āvr̥ṇīmáhe?_,yát te dhītíṁ sumatím āvr̥ṇīmáhe,L L LL SSS LSLSL,Jagatī,A,,456,Agni,Hymns to Agni
07.019.09.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,07,07.019,07.019.09,d,M,vr̥ṇīṣva,2,intermediate,2.SG.PRS.IMP.MED,asmā́n vr̥ṇīṣva= yújyāya tásmai,asmā́n vr̥ṇīṣva yújiyāya tásmai,LL SLS SSLS LL,Triṣṭubh,S,,535,Indra,Hymns to Indra
07.033.02.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,ninth,vr̥ vr̥̄,07,07.033,07.033.02,d,P,avr̥ṇīta,3,verse final,3.SG.IPRF.IND.MED,sutā́t índraḥ= avr̥ṇītā+} vásiṣṭhān,sutā́d índro avr̥ṇītā vásiṣṭhān,SL LL SSLL SLL,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (O)', 'Arnold (C1)', 'Wuest (W)', 'Witzel (Z)']",549,Vasistha,Hymns to Indra
