root_guess,variant_no,strong_stem,weak_stem,weak_only,attestation_texts,language_period,present_class,root,strong_attestations,strong_attestations_total,weak_attestations,weak_attestations_total
kr̥,,kr̥ṇo,kr̥ṇu,False,,Earlier,fifth,kr̥,07.018.05 01.013.12 01.018.08 01.031.07 01.048.08 01.055.05 01.074.04 01.077.01 01.084.03 01.092.06 01.102.09 01.105.15 01.110.08 01.116.12 01.161.02 01.161.07 01.161.11 01.162.18 01.162.19 01.162.22 01.164.28 01.173.11 02.013.02 02.013.03 02.013.04 02.013.05 02.017.03 02.017.05 02.017.06 03.029.09 03.030.10 03.031.19 03.034.03 04.015.10 04.017.13 04.019.06 04.020.09 04.024.06 04.028.04 04.032.02 04.035.03 04.039.03 04.042.05 04.050.09 05.003.02 05.007.04 05.031.01 05.042.13 05.075.04 06.001.01 06.008.03 06.013.05 06.044.23 06.045.06 06.047.04 06.047.12 06.047.15 06.060.10 06.064.01 06.075.02 06.075.05 06.075.18 07.018.11 07.018.18 07.022.07 07.033.05 07.034.12 07.081.01 07.081.04 07.090.02 07.099.07 07.100.07 07.102.02 08.018.18 08.021.14 08.032.11 08.032.17 08.045.09 08.062.05 08.091.07 08.097.13 09.003.05 09.092.05 09.095.02 10.016.06 10.017.01 10.025.06 10.030.07 10.034.08 10.034.12 10.035.02 10.042.11 10.043.08 10.043.11 10.044.11 10.048.10 10.068.06 10.087.08 10.088.04 10.097.22 10.101.05 10.104.10 10.112.08 10.117.07 10.125.05 10.125.06 10.128.05 10.131.06 10.135.03 10.138.06 10.160.03 10.165.04 10.180.03,113,10.101.02 01.182.03 02.026.02 04.017.10 05.083.03 06.028.06 10.101.08 01.010.07 01.013.02 01.018.01 01.030.12 01.031.08 01.042.07 01.077.02 01.093.12 01.095.08 01.095.10 01.110.03 01.113.15 01.115.05 01.116.10 01.116.14 01.122.04 01.123.10 01.123.11 01.165.09 01.186.10 02.002.06 02.005.07 02.025.01 02.025.02 02.025.03 02.025.04 02.025.05 02.030.05 02.030.06 03.006.06 03.029.12 03.030.06 03.030.12 03.031.20 03.047.02 03.053.10 04.002.20 04.003.01 04.004.01 04.004.05 04.004.14 04.007.11 04.022.09 04.024.06 04.025.06 04.035.09 04.053.03 05.002.09 05.028.03 05.041.06 05.042.09 05.043.05 05.049.05 05.057.07 05.061.07 06.002.10 06.017.03 06.025.03 06.044.09 06.044.18 06.048.04 06.049.06 06.053.07 06.053.08 06.053.10 06.064.02 06.069.05 07.003.01 07.017.03 07.025.02 07.025.04 07.031.10 07.032.08 07.032.09 07.034.09 07.036.08 07.039.03 07.053.02 08.004.06 08.018.11 08.019.20 08.027.18 08.031.09 08.048.06 08.061.16 08.062.06 08.064.01 08.067.17 08.072.01 08.073.07 08.080.10 09.071.01 09.071.02 09.071.08 09.074.07 09.076.01 09.085.04 09.088.05 09.091.05 09.094.05 09.095.01 09.097.09 09.103.02 10.006.05 10.006.06 10.010.14 10.027.24 10.031.08 10.031.10 10.034.14 10.036.06 10.039.02 10.039.08 10.039.11 10.040.02 10.042.04 10.048.09 10.051.05 10.053.07 10.064.07 10.067.11 10.074.05 10.078.08 10.085.20 10.085.45 10.089.07 10.101.07 10.107.07 10.110.02 10.117.02 10.117.03 10.131.02 10.142.07 10.143.01 10.165.03,142
kṣubh,,kṣubhno,kṣubhnu,False,B.,Earlier,fifth,kṣubh,,0,,0
ji,,jino,jinu,False,V.B.,Earlier,fifth,ji 2 jinv,05.084.01,1,,0
takṣ,,takṣṇo,takṣṇu,False,B.S.,Earlier,fifth,takṣ,,0,,0
dagh,,daghno,daghnu,False,B.,Earlier,fifth,dagh,,0,,0
dabh,,dabhno,dabhnu,False,V.B.,Earlier,fifth,dabh,,0,01.055.07,1
dāś,,dāśno,dāśnu,False,V.,Earlier,fifth,dāś,08.004.06,1,,0
pi,,pino,pinu,False,V.B.,Earlier,fifth,pi,,0,,0
pr̥ 1,1,pr̥ṇo,pr̥ṇu,False,S.,Earlier,fifth,pr̥ 1,,0,,0
pruṣ,,pruṣṇo,pruṣṇu,False,V.,Earlier,fifth,pruṣⁱ,,0,01.168.08 06.071.01 10.023.04,3
ri,,riṇo,riṇu,False,B.,Earlier,fifth,ri,,0,,0
lu,,luno,lunu,False,B.S.,Earlier,fifth,lu,,0,,0
sagh,,saghno,saghnu,False,V.,Earlier,fifth,sagh,01.031.03,1,,0
si,,sino,sinu,False,V.B.,Earlier,fifth,si,,0,,0
sadh,,sadhno,sadhnu,False,B.,Earlier,fifth,sadh,,0,,0
skabh,,skabhno,skabhnu,False,B.,Earlier,fifth,skabh,,0,,0
sku,,skuno,skunu,False,V.,Earlier,fifth,sku,,0,,0
stabh,,stabhno,stabhnu,False,B.,Earlier,fifth,stabh,,0,,0
stigh,,stighno,stighnu,False,B.,Earlier,fifth,stigh,,0,,0
spr̥,,spr̥ṇo,spr̥ṇu,False,,Earlier,fifth,spr̥,,0,10.087.07,1
aś,,aśno,aśnu,False,,Earlier & Later,fifth,naś 1,01.017.09 01.094.02 02.016.03 02.024.08 03.011.07 03.051.12 03.059.02 04.009.08 09.081.02 10.039.11 10.062.09 10.064.15,12,01.054.09 01.164.37 05.054.10 06.023.08 06.028.04 06.074.01 07.022.08 07.099.01 07.103.09 08.031.08 08.040.03 08.045.22 08.051.06 08.082.06 09.065.06 09.083.01 10.085.42,17
āp,,āpno,āpnu,False,,Earlier & Later,fifth,āp,,0,,0
r̥dh,,r̥dhno,r̥dhnu,False,,Earlier & Later,fifth,r̥dh,01.018.08,1,,0
kṣi,,kṣiṇo,kṣiṇu,False,,Earlier & Later,fifth,kṣi,,0,,0
ci 1,1,cino,cinu,False,,Earlier & Later,fifth,ci 1,10.042.09 10.043.05 10.087.05,3,06.053.04 09.097.58 10.091.05,3
tr̥p,,tr̥pṇo tr̥pno,tr̥pṇu tr̥pnu,False,V.B.C.,Earlier & Later,fifth,tr̥p,,0,01.110.01 02.016.06 02.036.04 08.035.10,4
du,,duno,dunu,False,,Earlier & Later,fifth,du,,0,,0
dhi,,dhino,dhinu,False,B. +,Earlier & Later,fifth,dhi,,0,,0
dhu dhū,,dhuno dhūno,dhunu dhūnu,False,C.,Earlier & Later,fifth,dhū,01.059.06 10.023.04,2,01.010.08 01.037.06 01.078.04 03.012.06 03.045.04 05.054.12 05.057.03 08.014.14 08.034.03 08.052.10 10.066.14 10.134.03 10.134.04,13
dhr̥ṣ,,dhr̥ṣṇo,dhr̥ṣṇu,False,,Earlier & Later,fifth,dhr̥ṣ,,0,01.080.03,1
mi 1,1,mino,minu,False,,Earlier & Later,fifth,mi 1,10.018.13,1,,0
mi,2,mino,minu,False,V.C.,Earlier & Later,fifth,mi,,0,,0
rādh,,rādhno,rādhnu,False,B. +,Earlier & Later,fifth,rādh,,0,,0
vr̥ ūr,1,vr̥ṇo ūrṇo,vr̥ṇu ūrṇu,False,,Earlier & Later,fifth,vr̥,01.051.03 01.051.04 01.068.01 01.105.15 01.130.03 01.132.04 02.011.18 03.031.21 03.034.03 03.044.05 04.028.01 07.082.06 08.063.03 08.079.02 08.100.06 09.086.23 10.088.12 10.120.08 10.139.06,19,01.092.04 02.014.03 02.034.12 04.054.02 06.050.08 08.039.06 09.091.04 09.096.11 09.110.06 10.016.07 10.018.11 10.038.02 10.040.08 10.073.11,14
vr̥ vr̥̄,2,vr̥ṇo,vr̥ṇu,False,B . +,Earlier & Later,fifth,vr̥ vr̥̄,,0,,0
śak,,śakno,śaknu,False,,Earlier & Later,fifth,śak,,0,05.040.09,1
śr̥,,śr̥ṇo,śr̥ṇu,False,,Earlier & Later,fifth,śru,03.054.01 10.071.06 01.027.12 01.037.13 01.114.11 02.027.01 02.032.04 02.033.04 03.033.09 03.054.19 03.054.20 04.023.03 05.032.11 05.032.12 05.041.12 05.042.01 05.043.11 05.046.08 06.050.14 06.055.05 07.029.04 07.034.22 07.035.06 07.038.05 07.044.05 07.046.01 08.002.11 08.036.07 08.037.07 08.054.04 08.078.05 08.093.18 10.036.10 10.042.03 10.062.04 10.064.04 10.064.10 10.071.04 10.091.13 10.092.12 10.095.11 10.125.04 10.171.01,43,01.047.02 01.082.01 01.086.02 01.089.04 01.089.08 01.093.01 01.104.09 01.118.03 01.131.07 01.139.07 01.181.07 02.041.13 03.058.03 03.062.02 04.009.07 04.022.10 06.052.07 06.052.13 06.060.15 06.069.04 06.069.07 07.028.01 07.067.10 07.069.08 07.082.08 07.083.04 07.094.02 08.003.18 08.013.07 08.017.02 08.035.19 08.036.07 08.037.07 08.038.08 08.045.06 08.052.08 08.073.10 08.084.03 08.085.02 08.085.04 09.082.04 10.012.04 10.030.08 10.039.06 10.067.11 10.075.05 10.113.09,47
su,,suno,sunu,False,,Earlier & Later,fifth,su,01.109.04 01.122.09 02.030.07 04.024.06 04.035.06 05.034.01 05.034.03 07.032.06 07.032.08 08.033.12 09.030.06 09.051.02 10.030.03 10.042.05 10.076.02 10.076.04 10.086.15 10.160.03 10.160.04,19,01.028.06 04.035.04 08.031.05 10.014.13 10.030.15 10.076.08 10.175.01,7
stu,,stuno,stunu,False,B.C.,Earlier & Later,fifth,stu,,0,,0
str̥,,str̥ṇo,str̥ṇu,False,,Earlier & Later,fifth,str̥,01.129.04,1,,0
hi,,hino,hinu,False,,Earlier & Later,fifth,hi,10.030.11 01.018.04 01.061.04 01.153.03 01.184.04 02.014.04 02.032.03 05.077.02 06.013.03 06.069.01 07.034.05 07.034.06 07.056.12 07.104.06 07.104.13 08.004.16 08.071.05 09.062.18 09.097.04 10.016.09 10.030.07 10.030.08 10.188.01,23,01.143.04 06.045.14 06.045.30 09.036.03 10.016.01,5
ci,2,cino,cinu,False,,Later,fifth,ci,,0,,0
jagh,,jaghno,jaghnu,False,C.,Later,fifth,jagh,,0,,0
ti,,tino,tinu,False,C.,Later,fifth,ti,,0,,0
pr̥,2,pr̥ṇo,pr̥ṇu,False,C.,Later,fifth,pr̥,,0,,0
