line_no,labels,strata,strata_based_on_meter_only
01.001.01.a,MO,N,False
01.001.01.b,MO,N,False
01.001.01.c,MO,N,False
01.001.02.a,MO,N,False
01.001.02.b,MO,N,False
01.001.02.c,MO,N,False
01.001.03.a,MO,N,False
01.001.03.b,MO,N,False
01.001.03.c,MO,N,False
01.001.04.a,MO,N,False
01.001.04.b,MO,N,False
01.001.04.c,MO,N,False
01.001.05.a,MO,N,False
01.001.05.b,MO,N,False
01.001.05.c,MO,N,False
01.001.06.a,MO,N,False
01.001.06.b,MO,N,False
01.001.06.c,MO,N,False
01.001.07.a,MO,N,False
01.001.07.b,MO,N,False
01.001.07.c,MO,N,False
01.001.08.a,MO,N,False
01.001.08.b,MO,N,False
01.001.08.c,MO,N,False
01.001.09.a,MO,N,False
01.001.09.b,MO,N,False
01.001.09.c,MO,N,False
01.002.01.a,MO,S,False
01.002.01.b,MO,S,False
01.002.01.c,MO,S,False
01.002.02.a,MOT,S,False
01.002.02.b,MOT,S,False
01.002.02.c,MOT,S,False
01.002.03.a,MO,S,False
01.002.03.b,MO,S,False
01.002.03.c,MO,S,False
01.002.04.a,MO,S,False
01.002.04.b,MO,S,False
01.002.04.c,MO,S,False
01.002.05.a,MO,S,False
01.002.05.b,MO,S,False
01.002.05.c,MO,S,False
01.002.06.a,MO,S,False
01.002.06.b,MO,S,False
01.002.06.c,MO,S,False
01.002.07.a,MOT,S,False
01.002.07.b,MOT,S,False
01.002.07.c,MOT,S,False
01.002.08.a,MO,S,False
01.002.08.b,MO,S,False
01.002.08.c,MO,S,False
01.002.09.a,MO,S,False
01.002.09.b,MO,S,False
01.002.09.c,MO,S,False
01.003.01.a,MO,S,False
01.003.01.b,MO,S,False
01.003.01.c,MO,S,False
01.003.02.a,MO,S,False
01.003.02.b,MO,S,False
01.003.02.c,MO,S,False
01.003.03.a,MO,S,False
01.003.03.b,MO,S,False
01.003.03.c,MO,S,False
01.003.04.a,MOT,N,False
01.003.04.b,MOT,N,False
01.003.04.c,MOT,N,False
01.003.05.a,MOT,N,False
01.003.05.b,MOT,N,False
01.003.05.c,MOT,N,False
01.003.06.a,MOT,N,False
01.003.06.b,MOT,N,False
01.003.06.c,MOT,N,False
01.003.07.a,MO,S,False
01.003.07.b,MO,S,False
01.003.07.c,MO,S,False
01.003.08.a,MO,S,False
01.003.08.b,MO,S,False
01.003.08.c,MO,S,False
01.003.09.a,MO,S,False
01.003.09.b,MO,S,False
01.003.09.c,MO,S,False
01.003.10.a,MO,S,False
01.003.10.b,MO,S,False
01.003.10.c,MO,S,False
01.003.11.a,MO,S,False
01.003.11.b,MO,S,False
01.003.11.c,MO,S,False
01.003.12.a,MO,S,False
01.003.12.b,MO,S,False
01.003.12.c,MO,S,False
01.004.01.a,MO,S,True
01.004.01.b,MO,S,True
01.004.01.c,MO,S,True
01.004.02.a,MO,S,True
01.004.02.b,MO,S,True
01.004.02.c,MO,S,True
01.004.03.a,MO,S,True
01.004.03.b,MO,S,True
01.004.03.c,MO,S,True
01.004.04.a,MO,S,True
01.004.04.b,MO,S,True
01.004.04.c,MO,S,True
01.004.05.a,MO,S,True
01.004.05.b,MO,S,True
01.004.05.c,MO,S,True
01.004.06.a,MO,S,True
01.004.06.b,MO,S,True
01.004.06.c,MO,S,True
01.004.07.a,MO,S,True
01.004.07.b,MO,S,True
01.004.07.c,MO,S,True
01.004.08.a,MO,S,True
01.004.08.b,MO,S,True
01.004.08.c,MO,S,True
01.004.09.a,MO,S,True
01.004.09.b,MO,S,True
01.004.09.c,MO,S,True
01.004.10.a,MO,S,True
01.004.10.b,MO,S,True
01.004.10.c,MO,S,True
01.005.01.a,MO,S,True
01.005.01.b,MO,S,True
01.005.01.c,MO,S,True
01.005.02.a,MO,S,True
01.005.02.b,MO,S,True
01.005.02.c,MO,S,True
01.005.03.a,MO,S,True
01.005.03.b,MO,S,True
01.005.03.c,MO,S,True
01.005.04.a,MO,S,True
01.005.04.b,MO,S,True
01.005.04.c,MOR,S,True
01.005.05.a,MO,S,True
01.005.05.b,MO,S,True
01.005.05.c,MO,S,True
01.005.06.a,MO,S,True
01.005.06.b,MO,S,True
01.005.06.c,MO,S,True
01.005.07.a,MO,S,True
01.005.07.b,MO,S,True
01.005.07.c,MO,S,True
01.005.08.a,MO,S,True
01.005.08.b,MO,S,True
01.005.08.c,MO,S,True
01.005.09.a,MO,S,True
01.005.09.b,MO,S,True
01.005.09.c,MO,S,True
01.005.10.a,MO,S,True
01.005.10.b,MO,S,True
01.005.10.c,MO,S,True
01.006.01.a,MO,S,True
01.006.01.b,MO,S,True
01.006.01.c,MO,S,True
01.006.02.a,MO,S,True
01.006.02.b,MO,S,True
01.006.02.c,MO,S,True
01.006.03.a,MO,S,True
01.006.03.b,MO,S,True
01.006.03.c,MO,S,True
01.006.04.a,MO,S,True
01.006.04.b,MO,S,True
01.006.04.c,MO,S,True
01.006.05.a,MO,S,True
01.006.05.b,MO,S,True
01.006.05.c,MO,S,True
01.006.06.a,MO,S,True
01.006.06.b,MO,S,True
01.006.06.c,MO,S,True
01.006.07.a,MO,S,True
01.006.07.b,MO,S,True
01.006.07.c,MO,S,True
01.006.08.a,MO,S,True
01.006.08.b,MO,S,True
01.006.08.c,MO,S,True
01.006.09.a,MO,S,True
01.006.09.b,MO,S,True
01.006.09.c,MO,S,True
01.006.10.a,MO,S,True
01.006.10.b,MO,S,True
01.006.10.c,MO,S,True
01.007.01.a,MO,S,True
01.007.01.b,MO,S,True
01.007.01.c,MO,S,True
01.007.02.a,MO,S,True
01.007.02.b,MO,S,True
01.007.02.c,MO,S,True
01.007.03.a,MO,S,True
01.007.03.b,MO,S,True
01.007.03.c,MO,S,True
01.007.04.a,MO,S,True
01.007.04.b,MO,S,True
01.007.04.c,MO,S,True
01.007.05.a,MO,S,True
01.007.05.b,MO,S,True
01.007.05.c,MO,S,True
01.007.06.a,MO,S,True
01.007.06.b,MO,S,True
01.007.06.c,MO,S,True
01.007.07.a,MO,S,True
01.007.07.b,MO,S,True
01.007.07.c,MO,S,True
01.007.08.a,MO,S,True
01.007.08.b,MO,S,True
01.007.08.c,MO,S,True
01.007.09.a,MO,S,True
01.007.09.b,MO,S,True
01.007.09.c,MO,S,True
01.007.10.a,MO,S,True
01.007.10.b,MO,S,True
01.007.10.c,MO,S,True
01.008.01.a,MO,S,True
01.008.01.b,MO,S,True
01.008.01.c,MO,S,True
01.008.02.a,MO,S,True
01.008.02.b,MO,S,True
01.008.02.c,MO,S,True
01.008.03.a,MO,S,True
01.008.03.b,MO,S,True
01.008.03.c,MO,S,True
01.008.04.a,MO,S,True
01.008.04.b,MO,S,True
01.008.04.c,MO,S,True
01.008.05.a,MO,S,True
01.008.05.b,MO,S,True
01.008.05.c,MO,S,True
01.008.06.a,MO,S,True
01.008.06.b,MO,S,True
01.008.06.c,MO,S,True
01.008.07.a,MO,S,True
01.008.07.b,MO,S,True
01.008.07.c,MO,S,True
01.008.08.a,MO,S,True
01.008.08.b,MO,S,True
01.008.08.c,MO,S,True
01.008.09.a,MO,S,True
01.008.09.b,MO,S,True
01.008.09.c,MO,S,True
01.008.10.a,MO,S,True
01.008.10.b,MO,S,True
01.008.10.c,MO,S,True
01.009.01.a,MO,S,True
01.009.01.b,MO,S,True
01.009.01.c,MO,S,True
01.009.02.a,MO,S,True
01.009.02.b,MO,S,True
01.009.02.c,MO,S,True
01.009.03.a,MO,S,True
01.009.03.b,MO,S,True
01.009.03.c,MO,S,True
01.009.04.a,MO,S,True
01.009.04.b,MO,S,True
01.009.04.c,MO,S,True
01.009.05.a,MO,S,True
01.009.05.b,MO,S,True
01.009.05.c,MO,S,True
01.009.06.a,MO,S,True
01.009.06.b,MO,S,True
01.009.06.c,MO,S,True
01.009.07.a,MO,S,True
01.009.07.b,MO,S,True
01.009.07.c,MO,S,True
01.009.08.a,MO,S,True
01.009.08.b,MO,S,True
01.009.08.c,MO,S,True
01.009.09.a,MO,S,True
01.009.09.b,MO,S,True
01.009.09.c,MO,S,True
01.009.10.a,MO,S,True
01.009.10.b,MO,S,True
01.009.10.c,MO,S,True
01.010.01.a,M,N,False
01.010.01.b,M,N,False
01.010.01.c,M,N,False
01.010.01.d,M,N,False
01.010.02.a,M,N,False
01.010.02.b,M,N,False
01.010.02.c,M,N,False
01.010.02.d,M,N,False
01.010.03.a,M,N,False
01.010.03.b,M,N,False
01.010.03.c,M,N,False
01.010.03.d,M,N,False
01.010.04.a,M,N,False
01.010.04.b,M,N,False
01.010.04.c,M,N,False
01.010.04.d,M,N,False
01.010.05.a,M,N,False
01.010.05.b,M,N,False
01.010.05.c,M,N,False
01.010.05.d,M,N,False
01.010.06.a,M,N,False
01.010.06.b,M,N,False
01.010.06.c,M,N,False
01.010.06.d,M,N,False
01.010.07.a,M,N,False
01.010.07.b,M,N,False
01.010.07.c,M,N,False
01.010.07.d,M,N,False
01.010.08.a,M,N,False
01.010.08.b,M,N,False
01.010.08.c,M,N,False
01.010.08.d,M,N,False
01.010.09.a,M,N,False
01.010.09.b,M,N,False
01.010.09.c,M,N,False
01.010.09.d,M,N,False
01.010.10.a,M,N,False
01.010.10.b,M,N,False
01.010.10.c,M,N,False
01.010.10.d,M,N,False
01.010.11.a,M,N,False
01.010.11.b,M,N,False
01.010.11.c,M,N,False
01.010.11.d,M,N,False
01.010.12.a,M,N,False
01.010.12.b,M,N,False
01.010.12.c,M,N,False
01.010.12.d,M,N,False
01.011.01.a,M,N,False
01.011.01.b,M,N,False
01.011.01.c,M,N,False
01.011.01.d,M,N,False
01.011.02.a,M,N,False
01.011.02.b,M,N,False
01.011.02.c,M,N,False
01.011.02.d,M,N,False
01.011.03.a,M,N,False
01.011.03.b,M,N,False
01.011.03.c,M,N,False
01.011.03.d,M,N,False
01.011.04.a,M,N,False
01.011.04.b,M,N,False
01.011.04.c,M,N,False
01.011.04.d,M,N,False
01.011.05.a,M,N,False
01.011.05.b,M,N,False
01.011.05.c,M,N,False
01.011.05.d,M,N,False
01.011.06.a,M,N,False
01.011.06.b,M,N,False
01.011.06.c,M,N,False
01.011.06.d,M,N,False
01.011.07.a,M,N,False
01.011.07.b,M,N,False
01.011.07.c,M,N,False
01.011.07.d,M,N,False
01.011.08.a,M,N,False
01.011.08.b,M,N,False
01.011.08.c,M,N,False
01.011.08.d,M,N,False
01.012.01.a,MO,N,False
01.012.01.b,MO,N,False
01.012.01.c,MO,N,False
01.012.02.a,MO,N,False
01.012.02.b,MO,N,False
01.012.02.c,MO,N,False
01.012.03.a,MO,N,False
01.012.03.b,MO,N,False
01.012.03.c,MO,N,False
01.012.04.a,MO,N,False
01.012.04.b,MO,N,False
01.012.04.c,MO,N,False
01.012.05.a,MO,N,False
01.012.05.b,MO,N,False
01.012.05.c,MO,N,False
01.012.06.a,MO,N,False
01.012.06.b,MO,N,False
01.012.06.c,MO,N,False
01.012.07.a,MO,N,False
01.012.07.b,MO,N,False
01.012.07.c,MO,N,False
01.012.08.a,MO,N,False
01.012.08.b,MO,N,False
01.012.08.c,MO,N,False
01.012.09.a,MO,N,False
01.012.09.b,MO,N,False
01.012.09.c,MO,N,False
01.012.10.a,MO,N,False
01.012.10.b,MOR,N,False
01.012.10.c,MO,N,False
01.012.11.a,MO,N,False
01.012.11.b,MO,N,False
01.012.11.c,MO,N,False
01.012.12.a,MO,N,False
01.012.12.b,MO,N,False
01.012.12.c,MO,N,False
01.013.01.a,MO,C,False
01.013.01.b,MO,C,False
01.013.01.c,MO,C,False
01.013.02.a,MO,C,False
01.013.02.b,MO,C,False
01.013.02.c,MO,C,False
01.013.03.a,MO,C,False
01.013.03.b,MO,C,False
01.013.03.c,MO,C,False
01.013.04.a,MO,C,False
01.013.04.b,MO,C,False
01.013.04.c,MO,C,False
01.013.05.a,MO,C,False
01.013.05.b,MO,C,False
01.013.05.c,MO,C,False
01.013.06.a,MO,C,False
01.013.06.b,MO,C,False
01.013.06.c,MO,C,False
01.013.07.a,MO,C,False
01.013.07.b,MOR,C,False
01.013.07.c,MO,C,False
01.013.08.a,MO,C,False
01.013.08.b,MO,C,False
01.013.08.c,MO,C,False
01.013.09.a,MO,C,False
01.013.09.b,MO,C,False
01.013.09.c,MO,C,False
01.013.10.a,MO,C,False
01.013.10.b,MO,C,False
01.013.10.c,MOR,C,False
01.013.11.a,MO,C,False
01.013.11.b,MO,C,False
01.013.11.c,MO,C,False
01.013.12.a,MO,C,False
01.013.12.b,MO,C,False
01.013.12.c,MO,C,False
01.014.01.a,MO,N,False
01.014.01.b,MO,N,False
01.014.01.c,MO,N,False
01.014.02.a,MO,N,False
01.014.02.b,MO,N,False
01.014.02.c,MO,N,False
01.014.03.a,MO,N,False
01.014.03.b,MO,N,False
01.014.03.c,MO,N,False
01.014.04.a,MO,N,False
01.014.04.b,MO,N,False
01.014.04.c,MO,N,False
01.014.05.a,MO,N,False
01.014.05.b,MO,N,False
01.014.05.c,MO,N,False
01.014.06.a,MO,N,False
01.014.06.b,MO,N,False
01.014.06.c,MO,N,False
01.014.07.a,MO,N,False
01.014.07.b,MO,N,False
01.014.07.c,MO,N,False
01.014.08.a,MO,N,False
01.014.08.b,MO,N,False
01.014.08.c,MO,N,False
01.014.09.a,MO,N,False
01.014.09.b,MO,N,False
01.014.09.c,MO,N,False
01.014.10.a,MO,N,False
01.014.10.b,MO,N,False
01.014.10.c,MO,N,False
01.014.11.a,MO,N,False
01.014.11.b,MO,N,False
01.014.11.c,MO,N,False
01.014.12.a,MO,N,False
01.014.12.b,MO,N,False
01.014.12.c,MO,N,False
01.015.01.a,MO,N,False
01.015.01.b,MO,N,False
01.015.01.c,MO,N,False
01.015.02.a,MO,N,False
01.015.02.b,MO,N,False
01.015.02.c,MO,N,False
01.015.03.a,MO,N,False
01.015.03.b,MO,N,False
01.015.03.c,MO,N,False
01.015.04.a,MOR,N,False
01.015.04.b,MO,N,False
01.015.04.c,MO,N,False
01.015.05.a,MO,N,False
01.015.05.b,MO,N,False
01.015.05.c,MO,N,False
01.015.06.a,MO,N,False
01.015.06.b,MO,N,False
01.015.06.c,MO,N,False
01.015.07.a,MO,N,False
01.015.07.b,MO,N,False
01.015.07.c,MO,N,False
01.015.08.a,MO,N,False
01.015.08.b,MO,N,False
01.015.08.c,MO,N,False
01.015.09.a,MO,N,False
01.015.09.b,MO,N,False
01.015.09.c,MO,N,False
01.015.10.a,MO,N,False
01.015.10.b,MO,N,False
01.015.10.c,MO,N,False
01.015.11.a,MO,N,False
01.015.11.b,MO,N,False
01.015.11.c,MO,N,False
01.015.12.a,MO,N,False
01.015.12.b,MO,N,False
01.015.12.c,MO,N,False
01.016.01.a,MO,N,False
01.016.01.b,MO,N,False
01.016.01.c,MO,N,False
01.016.02.a,MO,N,False
01.016.02.b,MO,N,False
01.016.02.c,MO,N,False
01.016.03.a,MO,N,False
01.016.03.b,MO,N,False
01.016.03.c,MO,N,False
01.016.04.a,MO,N,False
01.016.04.b,MO,N,False
01.016.04.c,MO,N,False
01.016.05.a,MO,N,False
01.016.05.b,MO,N,False
01.016.05.c,MO,N,False
01.016.06.a,MO,N,False
01.016.06.b,MO,N,False
01.016.06.c,MO,N,False
01.016.07.a,MO,N,False
01.016.07.b,MO,N,False
01.016.07.c,MO,N,False
01.016.08.a,MO,N,False
01.016.08.b,MO,N,False
01.016.08.c,MO,N,False
01.016.09.a,MO,N,False
01.016.09.b,MO,N,False
01.016.09.c,MO,N,False
01.017.01.a,MO,N,False
01.017.01.b,MO,N,False
01.017.01.c,MO,N,False
01.017.02.a,MO,N,False
01.017.02.b,MO,N,False
01.017.02.c,MO,N,False
01.017.03.a,MO,N,False
01.017.03.b,MO,N,False
01.017.03.c,MO,N,False
01.017.04.a,MO,N,False
01.017.04.b,MO,N,False
01.017.04.c,MO,N,False
01.017.05.a,MO,N,False
01.017.05.b,MO,N,False
01.017.05.c,MO,N,False
01.017.06.a,MO,N,False
01.017.06.b,MO,N,False
01.017.06.c,MO,N,False
01.017.07.a,MO,N,False
01.017.07.b,MO,N,False
01.017.07.c,MO,N,False
01.017.08.a,MO,N,False
01.017.08.b,MO,N,False
01.017.08.c,MO,N,False
01.017.09.a,MO,N,False
01.017.09.b,MO,N,False
01.017.09.c,MO,N,False
01.018.01.a,MO,N,False
01.018.01.b,MO,N,False
01.018.01.c,MO,N,False
01.018.02.a,MO,N,False
01.018.02.b,MO,N,False
01.018.02.c,MO,N,False
01.018.03.a,MO,N,False
01.018.03.b,MO,N,False
01.018.03.c,MO,N,False
01.018.04.a,MO,N,False
01.018.04.b,MO,N,False
01.018.04.c,MO,N,False
01.018.05.a,MO,N,False
01.018.05.b,MO,N,False
01.018.05.c,MO,N,False
01.018.06.a,MO,N,False
01.018.06.b,MO,N,False
01.018.06.c,MO,N,False
01.018.07.a,MO,N,False
01.018.07.b,MO,N,False
01.018.07.c,MO,N,False
01.018.08.a,MO,N,False
01.018.08.b,MO,N,False
01.018.08.c,MO,N,False
01.018.09.a,MO,N,False
01.018.09.b,MO,N,False
01.018.09.c,MO,N,False
01.019.01.a,MO,N,False
01.019.01.b,MO,N,False
01.019.01.c,MO,N,False
01.019.02.a,MO,N,False
01.019.02.b,MO,N,False
01.019.02.c,MOR,N,False
01.019.03.a,MO,N,False
01.019.03.b,MO,N,False
01.019.03.c,MOR,N,False
01.019.04.a,MO,N,False
01.019.04.b,MO,N,False
01.019.04.c,MOR,N,False
01.019.05.a,MO,N,False
01.019.05.b,MO,N,False
01.019.05.c,MOR,N,False
01.019.06.a,MO,N,False
01.019.06.b,MO,N,False
01.019.06.c,MOR,N,False
01.019.07.a,MO,N,False
01.019.07.b,MO,N,False
01.019.07.c,MOR,N,False
01.019.08.a,MO,N,False
01.019.08.b,MO,N,False
01.019.08.c,MOR,N,False
01.019.09.a,MO,N,False
01.019.09.b,MO,N,False
01.019.09.c,MOR,N,False
01.020.01.a,MO,N,False
01.020.01.b,MO,N,False
01.020.01.c,MO,N,False
01.020.02.a,MO,N,False
01.020.02.b,MO,N,False
01.020.02.c,MO,N,False
01.020.03.a,MO,N,False
01.020.03.b,MO,N,False
01.020.03.c,MO,N,False
01.020.04.a,MO,N,False
01.020.04.b,MO,N,False
01.020.04.c,MO,N,False
01.020.05.a,MO,N,False
01.020.05.b,MO,N,False
01.020.05.c,MO,N,False
01.020.06.a,MO,N,False
01.020.06.b,MO,N,False
01.020.06.c,MO,N,False
01.020.07.a,MO,N,False
01.020.07.b,MO,N,False
01.020.07.c,MO,N,False
01.020.08.a,MO,N,False
01.020.08.b,MO,N,False
01.020.08.c,MO,N,False
01.021.01.a,MO,N,False
01.021.01.b,MO,N,False
01.021.01.c,MO,N,False
01.021.02.a,MO,N,False
01.021.02.b,MO,N,False
01.021.02.c,MO,N,False
01.021.03.a,MO,N,False
01.021.03.b,MO,N,False
01.021.03.c,MO,N,False
01.021.04.a,MO,N,False
01.021.04.b,MOR,N,False
01.021.04.c,MO,N,False
01.021.05.a,MO,N,False
01.021.05.b,MO,N,False
01.021.05.c,MO,N,False
01.021.06.a,MO,N,False
01.021.06.b,MO,N,False
01.021.06.c,MO,N,False
01.022.01.a,MO,N,False
01.022.01.b,MO,N,False
01.022.01.c,MO,N,False
01.022.02.a,MO,N,False
01.022.02.b,MO,N,False
01.022.02.c,MO,N,False
01.022.03.a,MO,N,False
01.022.03.b,MO,N,False
01.022.03.c,MO,N,False
01.022.04.a,MO,N,False
01.022.04.b,MO,N,False
01.022.04.c,MO,N,False
01.022.05.a,MO,N,False
01.022.05.b,MO,N,False
01.022.05.c,MO,N,False
01.022.06.a,MO,N,False
01.022.06.b,MO,N,False
01.022.06.c,MO,N,False
01.022.07.a,MO,N,False
01.022.07.b,MO,N,False
01.022.07.c,MO,N,False
01.022.08.a,MO,N,False
01.022.08.b,MO,N,False
01.022.08.c,MO,N,False
01.022.09.a,MO,N,False
01.022.09.b,MO,N,False
01.022.09.c,MO,N,False
01.022.10.a,MO,N,False
01.022.10.b,MO,N,False
01.022.10.c,MO,N,False
01.022.11.a,MT,N,False
01.022.11.b,MT,N,False
01.022.11.c,MT,N,False
01.022.12.a,MO,N,False
01.022.12.b,MO,N,False
01.022.12.c,MO,N,False
01.022.13.a,MO,N,False
01.022.13.b,MO,N,False
01.022.13.c,MO,N,False
01.022.14.a,MO,N,False
01.022.14.b,MO,N,False
01.022.14.c,MO,N,False
01.022.15.a,MO,N,False
01.022.15.b,MO,N,False
01.022.15.c,MO,N,False
01.022.16.a,MO,N,False
01.022.16.b,MO,N,False
01.022.16.c,MO,N,False
01.022.17.a,MO,N,False
01.022.17.b,MO,N,False
01.022.17.c,MO,N,False
01.022.18.a,MO,N,False
01.022.18.b,MO,N,False
01.022.18.c,MO,N,False
01.022.19.a,MO,N,False
01.022.19.b,MO,N,False
01.022.19.c,MO,N,False
01.022.20.a,MO,N,False
01.022.20.b,MO,N,False
01.022.20.c,MO,N,False
01.022.21.a,MO,N,False
01.022.21.b,MO,N,False
01.022.21.c,MO,N,False
01.023.01.a,MO,N,False
01.023.01.b,MO,N,False
01.023.01.c,MO,N,False
01.023.02.a,MOR,N,False
01.023.02.b,MO,N,False
01.023.02.c,MOR,N,False
01.023.03.a,MO,N,False
01.023.03.b,MO,N,False
01.023.03.c,MO,N,False
01.023.04.a,MO,N,False
01.023.04.b,MO,N,False
01.023.04.c,MO,N,False
01.023.05.a,MO,N,False
01.023.05.b,MO,N,False
01.023.05.c,MO,N,False
01.023.06.a,MO,N,False
01.023.06.b,MO,N,False
01.023.06.c,MO,N,False
01.023.07.a,MO,N,False
01.023.07.b,MO,N,False
01.023.07.c,MO,N,False
01.023.08.a,MO,N,False
01.023.08.b,MO,N,False
01.023.08.c,MO,N,False
01.023.09.a,MO,N,False
01.023.09.b,MO,N,False
01.023.09.c,MO,N,False
01.023.10.a,MO,N,False
01.023.10.b,MO,N,False
01.023.10.c,MO,N,False
01.023.11.a,MO,N,False
01.023.11.b,MO,N,False
01.023.11.c,MO,N,False
01.023.12.a,MO,N,False
01.023.12.b,MO,N,False
01.023.12.c,MO,N,False
01.023.13.a,MO,N,False
01.023.13.b,MO,N,False
01.023.13.c,MO,N,False
01.023.14.a,MO,N,False
01.023.14.b,MO,N,False
01.023.14.c,MO,N,False
01.023.15.a,MO,N,False
01.023.15.b,MO,N,False
01.023.15.c,MO,N,False
01.023.16.a,PO,P,False
01.023.16.b,PO,P,False
01.023.16.c,PO,P,False
01.023.17.a,PO,P,False
01.023.17.b,PO,P,False
01.023.17.c,PO,P,False
01.023.18.a,PO,P,False
01.023.18.b,PO,P,False
01.023.18.c,PO,P,False
01.023.19.a,P,P,False
01.023.19.b,P,P,False
01.023.19.c,P,P,False
01.023.20.a,PE2,P,False
01.023.20.b,PE2,P,False
01.023.20.c,PE2,P,False
01.023.20.d,PE2,P,False
01.023.21.a,P,P,False
01.023.21.b,P,P,False
01.023.21.c,P,P,False
01.023.22.a,PE2,P,False
01.023.22.b,PE2,P,False
01.023.22.c,PE2,P,False
01.023.22.d,PE2,P,False
01.023.23.a,PE2,P,False
01.023.23.b,PE2,P,False
01.023.23.c,PE2,P,False
01.023.23.d,PE2,P,False
01.023.24.a,PE2,P,False
01.023.24.b,PE2,P,False
01.023.24.c,PE2,P,False
01.023.24.d,PE2,P,False
01.024.01.a,D,P,True
01.024.01.b,D,P,True
01.024.01.c,D,P,True
01.024.01.d,D,P,True
01.024.02.a,D,P,True
01.024.02.b,DR,P,True
01.024.02.c,D,P,True
01.024.02.d,DR,P,True
01.024.03.a,M,S,False
01.024.03.b,MR,S,False
01.024.03.c,M,S,False
01.024.04.a,M,S,False
01.024.04.b,M,S,False
01.024.04.c,M,S,False
01.024.05.a,M,S,False
01.024.05.b,M,S,False
01.024.05.c,M,S,False
01.024.06.a,P,P,False
01.024.06.b,P,P,False
01.024.06.c,P,P,False
01.024.06.d,P,P,False
01.024.07.a,P,P,False
01.024.07.b,P,P,False
01.024.07.c,P,P,False
01.024.07.d,P,P,False
01.024.08.a,P,P,False
01.024.08.b,P,P,False
01.024.08.c,P,P,False
01.024.08.d,P,P,False
01.024.09.a,P,P,False
01.024.09.b,P,P,False
01.024.09.c,P,P,False
01.024.09.d,P,P,False
01.024.10.a,P,P,False
01.024.10.b,P,P,False
01.024.10.c,P,P,False
01.024.10.d,P,P,False
01.024.11.a,P,P,False
01.024.11.b,P,P,False
01.024.11.c,P,P,False
01.024.11.d,P,P,False
01.024.12.a,P,P,False
01.024.12.b,P,P,False
01.024.12.c,P,P,False
01.024.12.d,P,P,False
01.024.13.a,P,P,False
01.024.13.b,P,P,False
01.024.13.c,P,P,False
01.024.13.d,P,P,False
01.024.14.a,P,P,False
01.024.14.b,P,P,False
01.024.14.c,P,P,False
01.024.14.d,P,P,False
01.024.15.a,P,P,False
01.024.15.b,P,P,False
01.024.15.c,P,P,False
01.024.15.d,P,P,False
01.025.01.a,M,S,False
01.025.01.b,M,S,False
01.025.01.c,M,S,False
01.025.02.a,M,S,False
01.025.02.b,M,S,False
01.025.02.c,M,S,False
01.025.03.a,M,S,False
01.025.03.b,M,S,False
01.025.03.c,M,S,False
01.025.04.a,M,S,False
01.025.04.b,M,S,False
01.025.04.c,M,S,False
01.025.05.a,M,S,False
01.025.05.b,M,S,False
01.025.05.c,M,S,False
01.025.06.a,M,S,False
01.025.06.b,M,S,False
01.025.06.c,M,S,False
01.025.07.a,M,S,False
01.025.07.b,M,S,False
01.025.07.c,M,S,False
01.025.08.a,M,S,False
01.025.08.b,M,S,False
01.025.08.c,M,S,False
01.025.09.a,M,S,False
01.025.09.b,M,S,False
01.025.09.c,M,S,False
01.025.10.a,M,S,False
01.025.10.b,M,S,False
01.025.10.c,M,S,False
01.025.11.a,M,S,False
01.025.11.b,M,S,False
01.025.11.c,M,S,False
01.025.12.a,M,S,False
01.025.12.b,M,S,False
01.025.12.c,M,S,False
01.025.13.a,M,S,False
01.025.13.b,M,S,False
01.025.13.c,M,S,False
01.025.14.a,M,S,False
01.025.14.b,M,S,False
01.025.14.c,M,S,False
01.025.15.a,M,S,False
01.025.15.b,M,S,False
01.025.15.c,M,S,False
01.025.16.a,M,S,False
01.025.16.b,M,S,False
01.025.16.c,M,S,False
01.025.17.a,M,S,False
01.025.17.b,M,S,False
01.025.17.c,M,S,False
01.025.18.a,M,S,False
01.025.18.b,M,S,False
01.025.18.c,M,S,False
01.025.19.a,M,S,False
01.025.19.b,M,S,False
01.025.19.c,M,S,False
01.025.20.a,M,S,False
01.025.20.b,M,S,False
01.025.20.c,M,S,False
01.025.21.a,M,S,False
01.025.21.b,M,S,False
01.025.21.c,M,S,False
01.026.01.a,M,S,False
01.026.01.b,M,S,False
01.026.01.c,MR,S,False
01.026.02.a,M,S,False
01.026.02.b,M,S,False
01.026.02.c,M,S,False
01.026.03.a,M,S,False
01.026.03.b,M,S,False
01.026.03.c,M,S,False
01.026.04.a,M,S,False
01.026.04.b,M,S,False
01.026.04.c,M,S,False
01.026.05.a,M,S,False
01.026.05.b,M,S,False
01.026.05.c,M,S,False
01.026.06.a,M,S,False
01.026.06.b,M,S,False
01.026.06.c,M,S,False
01.026.07.a,M,S,False
01.026.07.b,M,S,False
01.026.07.c,M,S,False
01.026.08.a,M,S,False
01.026.08.b,M,S,False
01.026.08.c,M,S,False
01.026.09.a,M,S,False
01.026.09.b,M,S,False
01.026.09.c,M,S,False
01.026.10.a,M,S,False
01.026.10.b,M,S,False
01.026.10.c,M,S,False
01.027.01.a,MT,S,False
01.027.01.b,MT,S,False
01.027.01.c,MT,S,False
01.027.02.a,MT,S,False
01.027.02.b,MT,S,False
01.027.02.c,MT,S,False
01.027.03.a,MT,S,False
01.027.03.b,MT,S,False
01.027.03.c,MT,S,False
01.027.04.a,MT,S,False
01.027.04.b,MT,S,False
