line_no,labels,strata,strata_based_on_meter_only
07.019.04.b,M,S,False
07.019.04.c,M,S,False
07.019.04.d,M,S,False
07.019.05.a,M,S,False
07.019.05.b,M,S,False
07.019.05.c,M,S,False
07.019.05.d,M,S,False
07.019.06.a,M,S,False
07.019.06.b,M,S,False
07.019.06.c,M,S,False
07.019.06.d,M,S,False
07.019.07.a,M,S,False
07.019.07.b,M,S,False
07.019.07.c,M,S,False
07.019.07.d,M,S,False
07.019.08.a,M,S,False
07.019.08.b,M,S,False
07.019.08.c,M,S,False
07.019.08.d,MR,S,False
07.019.09.a,M,S,False
07.019.09.b,M,S,False
07.019.09.c,M,S,False
07.019.09.d,M,S,False
07.019.10.a,M,S,False
07.019.10.b,M,S,False
07.019.10.c,M,S,False
07.019.10.d,M,S,False
07.019.11.a,M,S,False
07.019.11.b,M,S,False
07.019.11.c,M,S,False
07.019.11.d,MR,S,False
07.020.01.a,M,S,False
07.020.01.b,M,S,False
07.020.01.c,M,S,False
07.020.01.d,M,S,False
07.020.02.a,M,S,False
07.020.02.b,M,S,False
07.020.02.c,M,S,False
07.020.02.d,M,S,False
07.020.03.a,M,S,False
07.020.03.b,M,S,False
07.020.03.c,M,S,False
07.020.03.d,M,S,False
07.020.04.a,M,S,False
07.020.04.b,M,S,False
07.020.04.c,M,S,False
07.020.04.d,M,S,False
07.020.05.a,M,S,False
07.020.05.b,M,S,False
07.020.05.c,M,S,False
07.020.05.d,M,S,False
07.020.06.a,M,S,False
07.020.06.b,M,S,False
07.020.06.c,M,S,False
07.020.06.d,M,S,False
07.020.07.a,M,S,False
07.020.07.b,M,S,False
07.020.07.c,M,S,False
07.020.07.d,M,S,False
07.020.08.a,M,S,False
07.020.08.b,M,S,False
07.020.08.c,M,S,False
07.020.08.d,M,S,False
07.020.09.a,M,S,False
07.020.09.b,M,S,False
07.020.09.c,M,S,False
07.020.09.d,M,S,False
07.020.10.a,M,S,False
07.020.10.b,M,S,False
07.020.10.c,M,S,False
07.020.10.d,MR,S,False
07.021.01.a,M,S,False
07.021.01.b,M,S,False
07.021.01.c,M,S,False
07.021.01.d,M,S,False
07.021.02.a,M,S,False
07.021.02.b,M,S,False
07.021.02.c,M,S,False
07.021.02.d,M,S,False
07.021.03.a,M,S,False
07.021.03.b,MR,S,False
