line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match
10.036.09.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.036,10.036.09,d,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,tát devā́nām= ávaḥ adyā́+} vr̥ṇīmahe-_,tád devā́nām ávo adyā́ vr̥ṇīmahe,L LLL SL LL SLSL,Jagatī,C,,862,All the Gods,Hymns of Lusa,L LLL_SL L|L SLSL,False,0,12,"['tád', 'de', 'vā́', 'nā', 'm á', 'vo', 'ad', 'yā́', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.036.10.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.036,10.036.10,d,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,tát devā́nām= ávaḥ adyā́+} vr̥ṇīmahe-_,tád devā́nām ávo adyā́ vr̥ṇīmahe,L LLL SL LL SLSL,Jagatī,C,,862,All the Gods,Hymns of Lusa,L LLL_SL L|L SLSL,False,0,12,"['tád', 'de', 'vā́', 'nā', 'm á', 'vo', 'ad', 'yā́', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.036.12.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.036,10.036.12,d,M,vr̥ṇīmahe,5,,1.PL.PRS.IND.MED,tát devā́nām= ávaḥ adyā́+} vr̥ṇīmahe-_,tád devā́nām ávo adyā́ vr̥ṇīmahe,L LLL SL LL SLSL,Jagatī,C,,862,All the Gods,Hymns of Lusa,L LLL_SL L|L SLSL,False,0,12,"['tád', 'de', 'vā́', 'nā', 'm á', 'vo', 'ad', 'yā́', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.085.14.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.085,10.085.14,d,P,avr̥ṇīta,3,verse final,3.SG.IPRF.IND.MED,putráḥ pitárau= avr̥ṇīta pūṣā́,putráḥ pitárāv avr̥ṇīta pūṣā́,LL SSL SSLS LL,Triṣṭubh,P,"['Grassmann (G)', 'Arnold (C2)']",911,Wedding Hymn,Hymns of Manyu,LL SSL_SS|LS LL,False,0,11,"['put', 'ráḥ', 'pi', 'tá', 'rā', 'v a', 'vr̥', 'ṇī', 'ta', 'pū', 'ṣā́']",,True
10.100.01.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.01,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.02.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.02,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.03.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.03,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.04.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.04,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.05.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.05,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.06.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.06,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.07.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.07,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.08.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.08,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.09.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.09,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,,C,,926,All the Gods,Hymns of Manyu,L LSLS_SSL SLSL,False,-1,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.10.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.10,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.100.11.d,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.1,10.100.11,d,M,vr̥ṇīmahe,4,,1.PL.PRS.IND.MED,ā́ sarvátātim= áditim} vr̥ṇīmahe-_,ā́ sarvátātim áditiṁ vr̥ṇīmahe,L LSLS SSL SLSL,Jagatī,C,,926,All the Gods,Hymns of Manyu,L LSLS_SS|L SLSL,False,0,12,"['ā́', 'sar', 'vá', 'tā', 'ti', 'm á', 'di', 'tiṁ', 'vr̥', 'ṇī', 'ma', 'he']",,True
10.126.02.a,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.126,10.126.02,a,M,vr̥ṇīmáhe,4,,1.PL.PRS.IND.MED,tát hí vayám vr̥ṇīmáhe-_,tád dhí vayáṁ vr̥ṇīmáhe,L S SL SLSL,,A,,952,All the Gods,Hymns of Manyu,L S SL SLSL,False,-1,8,"['tád', 'dhí', 'va', 'yáṁ', 'vr̥', 'ṇī', 'má', 'he']",,True
10.127.08.b,vr̥ṇī,weak,vr̥ vr̥̄,2,False,,Earlier & Later,vr̥ vr̥̄,10,10.127,10.127.08,b,M,vr̥ṇīṣvá,1,intermediate,2.SG.PRS.IMP.MED,vr̥ṇīṣvá duhitar divaḥ,vr̥ṇīṣvá duhitar divaḥ,SLS SSL SL,Gāyatrī,C,['Arnold (C1)'],953,The Night,Hymns of Manyu,SLS S|SL SL,False,-1,8,"['vr̥', 'ṇīṣ', 'vá', 'du', 'hi', 'tar', 'di', 'vaḥ']",,True
10.087.14.a,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.14,a,PH,śr̥ṇīhi,2,intermediate,2.SG.PRS.IMP.ACT,párā śr̥ṇīhi= tápasā} yātudhā́nān,párā śr̥ṇīhi tápasā yātudhā́nān,SL SLS SSL LSLL,,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,SL SLS SSL LSLL,False,-1,12,"['pá', 'rā', 'śr̥', 'ṇī', 'hi', 'tá', 'pa', 'sā', 'yā', 'tu', 'dhā́', 'nān']",,True
10.087.14.b,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.14,b,PH,śr̥ṇīhi,5,,2.SG.PRS.IMP.ACT,párā agne-_ rákṣaḥ= hárasā} śr̥ṇīhi,párāgne rákṣo hárasā śr̥ṇīhi,SLL LL SSL SLS,,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,SLL LL SSL SLS,False,-1,11,"['pá', 'rāg', 'ne', 'rák', 'ṣo', 'há', 'ra', 'sā', 'śr̥', 'ṇī', 'hi']",,True
10.087.14.c,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.14,c,PH,śr̥ṇīhi,4,,2.SG.PRS.IMP.ACT,párā arcíṣā= mū́radevān} śr̥ṇīhi,párārcíṣā mū́radevāñ chr̥ṇīhi,SLSL LSLL SLS,,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,SLSL LSLL SLS,False,-1,11,"['pá', 'rār', 'cí', 'ṣā', 'mū́', 'ra', 'de', 'vāñ', 'cchr̥', 'ṇī', 'hi']",,True
10.087.10.b,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.10,b,P,śr̥ṇīhi,4,verse final,2.SG.PRS.IMP.ACT,tásya trī́ṇi= práti śr̥ṇīhi ágrā,tásya trī́ṇi práti śr̥ṇīhi ágrā,LL LL SS SLS LL,Triṣṭubh,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,L_LL_LSS S|LS LL,False,0,11,"['tás', 'ya t', 'rī́', 'ṇi p', 'rá', 'ti', 'śr̥', 'ṇī', 'hi', 'ág', 'rā']",,True
10.087.10.c,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.10,c,P,śr̥ṇīhi,5,,2.SG.PRS.IMP.ACT,tásya agne-_ pr̥ṣṭī́ḥ= hárasā} śr̥ṇīhi,tásyāgne pr̥ṣṭī́r hárasā śr̥ṇīhi,LLL LL SSL SLS,Triṣṭubh,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,"LLL LL ,SS|L SLS",False,5,11,"['tás', 'yāg', 'ne', 'pr̥ṣ', 'ṭī́r', 'há', 'ra', 'sā', 'śr̥', 'ṇī', 'hi']",,True
03.030.17.b,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,3,3.03,03.030.17,b,M,śr̥ṇīhi,5,,2.SG.PRS.IMP.ACT,vr̥ścā́+ mádhyam= práti ágram} śr̥ṇīhi,vr̥ścā́ mádhyam práti ágraṁ śr̥ṇīhi,LL LL SS LL SLS,Triṣṭubh,N,,264,Indra,Hymns to Indra,"LL LL ,SS L|L SLS",False,4,11,"['vr̥ś', 'cā́', 'mádh', 'yam', 'prá', 'ti', 'ág', 'raṁ', 'śr̥', 'ṇī', 'hi']",,True
07.104.01.c,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,7,7.104,07.104.01,c,P,śr̥ṇītam,2,intermediate,2.DU.PRS.IMP.ACT,párā śr̥ṇītam= acítaḥ} ní oṣatam,párā śr̥ṇītam acíto ní oṣataṁ,SL SLS SSL S LSL,Jagatī,P,"['Oldenberg (O)', 'Arnold (C2)', 'Wuest (W)']",620,"Indra, Soma and Other Gods",Hymns to Parjanya / Appendix,SL SLS_SS|L S LSL,False,0,12,"['pá', 'rā', 'śr̥', 'ṇī', 'ta', 'm a', 'cí', 'to', 'ní', 'o', 'ṣa', 'taṁ']",,True
10.087.05.c,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.05,c,P,śr̥ṇīhi,4,,2.SG.PRS.IMP.ACT,prá párvāṇi= jātavedaḥ} śr̥ṇīhi,prá párvāṇi jātavedaḥ śr̥ṇīhi,S LLS LSLL SLS,Triṣṭubh,P,['Arnold (C2)'],913,"Agni, Killer of Raksas",Hymns of Manyu,"S LLS ,LSL|L SLS",False,4,11,"['prá', 'pár', 'vā', 'ṇi', 'jā', 'ta', 've', 'daḥ', 'śr̥', 'ṇī', 'hi']",,True
10.087.25.b,śr̥ṇī,weak,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.087,10.087.25,b,PE2,śr̥ṇīhí,1,intermediate,2.SG.PRS.IMP.ACT,śr̥ṇīhí viśvátaḥ práti,śr̥ṇīhí viśvátaḥ práti,SLS LSL SS,Aṇuṣṭubh,P,"['Oldenberg (O)', 'Arnold (C2)', 'Wuest (W)', 'Witzel (z)']",913,"Agni, Killer of Raksas",Hymns of Manyu,SLS L|SL SS,False,-1,8,"['śr̥', 'ṇī', 'hí', 'viś', 'vá', 'taḥ', 'prá', 'ti']",,True
10.089.06.d,śr̥ṇā,strong,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.089,10.089.06,d,M,śr̥ṇā́ti,1,intermediate,3.SG.PRS.IND.ACT,śr̥ṇā́ti vīḷú= rujáti} sthirā́ṇi,śr̥ṇā́ti vīḷú rujáti sthirā́ṇi,SLS LS SSL SLS,Triṣṭubh,N,,915,Indra,Hymns of Manyu,"SLS LS ,SS|_LSLS",False,5,11,"['śr̥', 'ṇā́', 'ti', 'vī', 'ḷú', 'ru', 'já', 'ti s', 'thi', 'rā́', 'ṇi']",,True
10.089.08.b,śr̥ṇā,strong,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.089,10.089.08,b,M,śr̥ṇāsi,5,,2.SG.PRS.IND.ACT,asíḥ ná+_ párva= vr̥jinā́} śr̥ṇāsi,asír ná párva vr̥jinā́ śr̥ṇāsi,SL S LS SSL SLS,,N,,915,Indra,Hymns of Manyu,SL S LS SSL SLS,False,-1,11,"['a', 'sír', 'ná', 'pár', 'va', 'vr̥', 'ji', 'nā́', 'śr̥', 'ṇā', 'si']",,True
10.138.04.d,śr̥ṇā,strong,śr̥,,False,,Earlier & Later,śr̥̄ 1,10,10.138,10.138.04,d,M,aśr̥ṇāt,3,verse final,3.SG.IPRF.IND.ACT,gr̥ṇānáḥ śátrūn= aśr̥ṇāt} virúkmatā,gr̥ṇānáḥ śátrūm̐r aśr̥ṇād virúkmatā,SLL LL SSL SLSL,Jagatī,C,,964,Indra,Hymns of Manyu,SLL LL_SS|L SLSL,False,0,12,"['gr̥', 'ṇā', 'náḥ', 'śát', 'rūm̐', 'r a', 'śr̥', 'ṇād', 'vi', 'rúk', 'ma', 'tā']",,True
02.012.02.d,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,2,2.012,02.012.02,d,M,ástabhnāt,3,intermediate,3.SG.IPRF.IND.ACT,yáḥ dyā́m ástabhnāt= sá janāsaḥ índraḥ,yó dyā́m ástabhnāt sá janāsa índraḥ,L L LLL S SLS LL,Triṣṭubh,C,,203,Indra,Hymns to Indra,"_LL_LLL ,S S|LS LL",False,5,11,"['yó d', 'yā́', 'm ás', 'tabh', 'nāt', 'sá', 'ja', 'nā', 'sa', 'ín', 'draḥ']",,True
02.013.10.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,2,2.013,02.013.10,c,M,astabhnāḥ,2,intermediate,2.SG.IPRF.IND.ACT,ṣáṭ astabhnāḥ= viṣṭíraḥ páñca saṁdŕ̥śaḥ,ṣáḷ astabhnā viṣṭíraḥ páñca saṁdŕ̥śaḥ,S LLL LSL LS LSL,Jagatī,C,,204,Indra,Hymns to Indra,"S_LLL ,LSL |LS LSL",False,4,12,"['ṣá', 'ḷ as', 'tabh', 'nā', 'viṣ', 'ṭí', 'raḥ', 'páñ', 'ca', 'saṁ', 'dŕ̥', 'śaḥ']",,True
02.017.05.d,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,2,2.017,02.017.05,d,M,ástabhnāt,1,intermediate,3.SG.IPRF.IND.ACT,ástabhnāt māyáyā dyā́m} avasrásaḥ,ástabhnān māyáyā diyā́m avasrásaḥ,LLL LSL SL SLSL,Jagatī,N,,208,Indra,Hymns to Indra,LLL LSL S|L_SLSL,False,0,12,"['ás', 'tabh', 'nān', 'mā', 'yá', 'yā', 'di', 'yā́', 'm a', 'vas', 'rá', 'saḥ']",,True
03.030.09.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,3,3.03,03.030.09,c,M,ástabhnāt,1,intermediate,3.SG.IPRF.IND.ACT,ástabhnāt dyā́m= vr̥ṣabháḥ antárikṣam,ástabhnād dyā́ṁ vr̥ṣabhó antárikṣam,LLL L SSL LSLL,Triṣṭubh,N,,264,Indra,Hymns to Indra,"LLL L ,SSL |LSLL",False,4,11,"['ás', 'tabh', 'nād', 'dyā́ṁ', 'vr̥', 'ṣa', 'bhó', 'an', 'tá', 'rik', 'ṣam']",,True
03.053.09.b,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,3,3.053,03.053.09,b,M,ástabhnāt,1,intermediate,3.SG.IPRF.IND.ACT,ástabhnāt síndhum= arṇavám} nr̥cákṣāḥ,ástabhnāt síndhum arṇaváṁ nr̥cákṣāḥ,LLL LS LSL SLL,Triṣṭubh,C,"['Grassmann (G)', 'Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",287,Indra,Hymns to Indra,LLL LS_LS|L SLL,False,0,11,"['ás', 'tabh', 'nāt', 'sín', 'dhu', 'm ar', 'ṇa', 'váṁ', 'nr̥', 'cák', 'ṣāḥ']",,True
06.008.03.a,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,6,6.008,06.008.03,a,M,astabhnāt,2,intermediate,3.SG.IPRF.IND.ACT,ví astabhnāt= ródasī+_ mitráḥ ádbhutaḥ,ví astabhnād ródasī mitró ádbhuto,S LLL LSL LL LSL,Jagatī,C,,449,Agni Vaisvanara,Hymns to Agni,"S LLL ,LSL |LL LSL",False,4,12,"['ví', 'as', 'tabh', 'nād', 'ró', 'da', 'sī', 'mit', 'ró', 'ád', 'bhu', 'to']",,True
06.047.05.d,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,6,6.047,06.047.05,d,M,astabhnāt,3,intermediate,3.SG.IPRF.IND.ACT,út dyā́m astabhnāt vr̥ṣabháḥ marútvān,diyā́m astabhnād vr̥ṣabhó marútvān,SL LLL SSL SLL,Triṣṭubh,n,"['Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",488,"Soma, Indra and Others",Hymns to Indra,"SL_LLL ,SS|L SLL",False,5,11,"['di', 'yā́', 'm as', 'tabh', 'nād', 'vr̥', 'ṣa', 'bhó', 'ma', 'rút', 'vān']",,True
07.099.02.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,7,7.099,07.099.02,c,M,astabhnāḥ,2,intermediate,2.SG.IPRF.IND.ACT,út astabhnāḥ= nā́kam r̥ṣvám} br̥hántam,úd astabhnā nā́kam r̥ṣvám br̥hántaṁ,S LLL LS LL SLL,Triṣṭubh,S,,615,"Vishnu, Indra and Vishnu",Hymns to Vishnu,"S_LLL ,LS_L|L SLL",False,4,11,"['ú', 'd as', 'tabh', 'nā', 'nā́', 'ka', 'm r̥ṣ', 'vám', 'br̥', 'hán', 'taṁ']",,True
07.099.03.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,7,7.099,07.099.03,c,M,astabhnāḥ,2,intermediate,2.SG.IPRF.IND.ACT,ví astabhnāḥ= ródasī+_ viṣṇo eté+_,ví astabhnā ródasī viṣṇav eté,S LLL LSL LS LL,,S,,615,"Vishnu, Indra and Vishnu",Hymns to Vishnu,S LLL LSL LS_LL,False,-1,11,"['ví', 'as', 'tabh', 'nā', 'ró', 'da', 'sī', 'viṣ', 'ṇa', 'v e', 'té']",,True
08.042.01.a,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,8,8.042,08.042.01,a,M,ástabhnāt,1,intermediate,3.SG.IPRF.IND.ACT,ástabhnāt dyā́m= ásuraḥ viśvávedāḥ,ástabhnād dyā́m ásuro viśvávedā,LLL L SSL LSLL,Triṣṭubh,S,,662,Varuna and the Asvins,Hymns of Nabhaka,LLL L_SSL |LSLL,False,0,11,"['ás', 'tabh', 'nād', 'dyā́', 'm á', 'su', 'ro', 'viś', 'vá', 've', 'dā']",,True
08.089.05.d,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,8,8.089,08.089.05,d,M,astabhnāḥ,2,intermediate,2.SG.IPRF.IND.ACT,tát astabhnāḥ utá dyā́m,tád astabhnā utá dyáam,S LLL SL SL,Aṇuṣṭubh,S,['Witzel (z)'],698,Indra,Hymns of Nodhas,S_LLL |S_LSL,False,-1,8,"['tá', 'd as', 'tabh', 'nā', 'u', 'tá d', 'yá', 'am']",,True
10.018.13.a,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,10,10.018,10.018.13,a,P,stabhnāmi,3,intermediate,1.SG.PRS.IND.ACT,út te-_ stabhnāmi= pr̥thivī́m} tvát pári,út te stabhnāmi pr̥thivī́ṁ tuvát pári,L L LLS SSL SL SS,,P,['Arnold (C2)'],844,For the Burial Rite,Yama Hymns,L _LLLS SSL SL SS,False,-1,12,"['út', 'te s', 'tabh', 'nā', 'mi', 'pr̥', 'thi', 'vī́ṁ', 'tu', 'vát', 'pá', 'ri']",,True
10.055.01.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,10,10.055,10.055.01,c,D,astabhnāḥ,2,intermediate,2.SG.IPRF.IND.ACT,út astabhnāḥ= pr̥thivī́m dyā́m} abhī́ke-_,úd astabhnāḥ pr̥thivī́ṁ dyā́m abhī́ke,S LLL SSL L SLL,Triṣṭubh,C,,881,Indra,Brihaduktha Hymns,"S_LLL ,SSL |L_SLL",False,4,11,"['ú', 'd as', 'tabh', 'nāḥ', 'pr̥', 'thi', 'vī́ṁ', 'dyā́', 'm a', 'bhī́', 'ke']",,True
10.113.04.d,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,10,10.113,10.113.04,d,M,ástabhnāt,1,intermediate,3.SG.IPRF.IND.ACT,ástabhnāt nā́kam= svapasyáyā pr̥thúm,ástabhnān nā́kaṁ suapasyáyā pr̥thúm,LLL LL SSLSL SL,Jagatī,C,,939,Indra,Hymns of Manyu,"LLL LL ,SS|LSL SL",False,5,12,"['ás', 'tabh', 'nān', 'nā́', 'kaṁ', 'su', 'a', 'pas', 'yá', 'yā', 'pr̥', 'thúm']",,True
10.153.03.c,stabhnā,strong,stabh,,False,,Earlier & Later,stambhⁱ,10,10.153,10.153.03,c,P,astabhnāḥ,3,verse final,2.SG.IPRF.IND.ACT,út dyā́m astabhnāḥ ójasā,úd dyā́m astabhnā ójasā,L L LLL LSL,Gāyatrī,P,,979,Indra,Hymns of Manyu,L L_LL|L LSL,False,-1,8,"['úd', 'dyā́', 'm as', 'tabh', 'nā', 'ó', 'ja', 'sā']",,True
01.013.05.a,str̥ṇī,weak,str̥,,False,,Earlier & Later,str̥̄,1,1.013,01.013.05,a,MO,str̥ṇītá,1,intermediate,2.PL.PRS.IMP.ACT,str̥ṇītá barhíḥ ānuṣák,str̥ṇītá barhír ānuṣág,SLS LS LSL,Gāyatrī,C,,13,Apri Hymn,Hymns of Medhatithi,SLS L|S_LSL,False,-1,8,"['str̥', 'ṇī', 'tá', 'bar', 'hí', 'r ā', 'nu', 'ṣág']",,True
03.004.04.d,str̥ṇī,weak,str̥,,False,,Earlier & Later,str̥̄,3,3.004,03.004.04,d,M,str̥ṇīmáhi,1,intermediate,1.PL.PRS.OPT.MED,str̥ṇīmáhi= devávyacāḥ} ví barhíḥ,str̥ṇīmáhi devávyacā ví barhíḥ,SLSS LLSL S LL,Triṣṭubh,N,,238,Apri Hymn,Hymns to Agni,"SLSS ,LLS|L S LL",False,4,11,"['str̥', 'ṇī', 'má', 'hi', 'de', 'váv', 'ya', 'cā', 'ví', 'bar', 'híḥ']",,True
05.026.08.c,str̥ṇī,weak,str̥,,False,,Earlier & Later,str̥̄,5,5.026,05.026.08,c,MR,str̥ṇītá,1,intermediate,2.PL.PRS.IMP.ACT,str̥ṇītá barhíḥ āsáde-_,str̥ṇītá barhír āsáde,SLS LS LSL,Gāyatrī,N,,380,Agni,Hymns to Agni,SLS L|S_LSL,False,-1,8,"['str̥', 'ṇī', 'tá', 'bar', 'hí', 'r ā', 'sá', 'de']",,True
06.067.02.a,str̥ṇī,weak,str̥,,False,,Earlier & Later,str̥̄,6,6.067,06.067.02,a,M,str̥ṇīte,5,verse final,3.SG.PRS.IND.MED,iyám mát vām= prá str̥ṇīte?_} manīṣā́,iyám mád vām prá str̥ṇīte manīṣā́,SL L L L SLL SLL,Triṣṭubh,A,,508,Mitra and Varuna,Hymns to Various Gods,"SL L L ,_LSL|L SLL",False,4,11,"['i', 'yám', 'mád', 'vām', 'prá s', 'tr̥', 'ṇī', 'te', 'ma', 'nī', 'ṣā́']",,True
